,alpha,power
0,0.1,0.066
1,0.1275,0.07
2,0.155,0.07
3,0.1825,0.076
4,0.21,0.078
5,0.2375,0.09
6,0.265,0.098
7,0.2925,0.11
8,0.32,0.116
9,0.3475,0.128
10,0.375,0.154
11,0.4025,0.176
12,0.43,0.202
13,0.4575,0.228
14,0.485,0.266
15,0.5125,0.298
16,0.54,0.324
17,0.5675,0.37
18,0.595,0.418
19,0.6225,0.446
20,0.65,0.5
21,0.6775,0.542
22,0.705,0.594
23,0.7325,0.646
24,0.76,0.69
25,0.7875,0.74
26,0.815,0.774
27,0.8425,0.814
28,0.87,0.836
29,0.8975,0.864
30,0.925,0.894
31,0.9525,0.916
32,0.98,0.936
33,1.0075,0.946
34,1.035,0.962
35,1.0625,0.966
36,1.09,0.972
37,1.1175,0.982
38,1.145,0.992
39,1.1725,0.994
40,1.2,0.994